movieId,actorId,character
9,183823,Mr. Hamilton
9,1309758,Chauncey Depew - the Director of the New York Central Railroad
335,1012612,
335,1011210,
335,1012621,
335,675239,Lion
335,675260,Lion
502,215752,
502,252720,
574,846894,School Master
574,3002376,Steve Hart
615,3071427,Warrigal
615,581353,Warder
615,888988,Inspector of Police
615,240418,Trooper
615,346387,Curate
676,97421,
676,140054,
679,875,The Wizard of Oz Man
679,122665,His Majesty the ScarecrowPara Bruin - the Rubber Bear
679,933446,Nick Chopper - Tin WoodmanThe White Rabbit
679,2924919,Tik-Tok - the Machine Man
862,5289318,Doktor
862,5289829,Charles
862,386036,Fader Loriot
862,511080,Blegnæb
862,5188470,Vært
886,609814,Hamlet
941,34453,
941,140054,
941,243918,
947,488932,
1049,104856,Tam
1049,251436,
1049,526190,Gøngehøvdingen
1049,5188470,Ib
1049,5217890,Mogens Krabbe
1101,923594,
1112,135493,Hamlet
1115,64953,Chief of Police
1115,85066,Pariserdrengen
1115,169878,Svi-Svi
1115,299757,Røret
1115,1834296,
1115,539049,
1115,627140,
1116,64953,
1116,85066,
1116,169878,
1116,299757,
1116,306604,
1116,539049,
1116,627140,
1122,167461,
1122,756543,
1122,941542,
1159,597995,
1175,854414,Armand Duval
1175,135053,Sadoul
1175,363465,
1184,735618,
1230,2503,
1240,1266474,
1240,627274,Hamlet
1240,381005,Claudius
1240,1267460,Laertes
1240,1266292,Horatio
1240,742120,
1258,2528881,
1258,1458507,
1258,1459190,Annas Dad
1277,169878,Salomon Baadsmand
1277,299757,Landsforræder
1277,772788,Kapergasten
1285,366742,Moses
1285,401967,
1285,448682,
1341,1024681,Tobiás
1341,782422,Oskar
1341,952034,Forester
1341,468351,Landlord
1358,5227562,Ole Vandhund
1358,1159832,
1358,234670,
1370,764002,D. Pedro I
1370,105501,D. Afonso IV
1381,927690,Recruit
1381,2547818,
1381,511155,
1381,1261170,
1381,5223669,Farmer
1381,835591,Captain
1422,1908,
1440,539049,Graf Otto
1440,64953,
1440,85066,Bödvar
1440,169878,Westhard
1440,299757,Valdemar Sejr
1475,1616439,
1475,1617025,
1475,1714653,
1498,95809,Lord Nelson
1498,697944,Lieutenant Prescott
1498,330280,Captain Hardy
1498,644728,The Ships Surgeon
1498,1372000,Undetermined Role
1521,227602,Johan - Bridegroom
1530,738202,Edgar DalmoreCaptain Midnight
1530,519315,
1531,627427,
1531,738202,Captain Starlight
1531,909492,
1592,927690,Edgar their son
1592,647719,Laege
1592,740463,Geheimraaden
1602,728158,
1602,216941,
1602,260771,
1602,328322,
1603,5239890,Gram
1603,227602,Erik
1603,511223,Peter
1603,512539,S. Petersen
1603,583207,Johannes von Falck
1604,30667,Frankie
1604,181848,Toto
1604,254852,Constable OReilly
1604,328760,
1604,376556,Reverend Dr Lanceford
1630,585785,Sir John Wolton
1630,707778,Mr. Herbert Bruce
1630,166547,Max
1630,473134,
1706,1908,Broncho Billy
1706,138771,
1706,865178,
1706,693055,
1706,639631,
1706,533615,
1711,9872,
1711,2161,
1731,519315,Gabbett
1756,34454,
1756,34548,
1756,679170,
1790,470307,Jean Valjean
1790,959921,Javert
1812,294276,Oedipus
1826,511729,
1826,2001,
1889,159725,Ravaud blind organist
1889,483943,Ali Baba
1889,2542283,
1889,772797,
1892,699637,Grev Johan Waldberg
1892,375839,Hofjuveler A. Hirsch
1892,16799,
1892,282348,
1911,627427,King Charles II
1911,492661,Lord Jeffries
1911,167411,Lord Rochester
1914,917744,Junger Maler Marten
1914,16799,Vater Meyer
1914,783027,Maler Prof. Harlow
1914,937377,Hans Braun
1964,932878,
1964,643138,Marquis de Bougival
1964,883519,Lieutenant von Mallwitz
1964,16799,Vujrat leader of the partisans
1964,666749,
2022,538779,
2022,789401,
2026,115982,Annys far
2026,27708,Willmann grossereren
2026,959066,Grossererens sønn
2026,64944,Snapp bankkasserer
2031,7221,Orlando
2060,126594,
2060,434130,
2088,1553125,
2101,906610,Venditius - a Roman Soldier
2101,1950505,Antony - a Triumvir and General
2101,397513,Pharon - a Greek Slave and Fisherman
2119,898366,
2130,660139,Dante Alighieri
2130,685283,Virgilio
2130,209738,Farinata degli UbertiPier delle VigneIl conte Ugolino
2130,3942815,Il conte Ugolino
2140,898366,
2152,624652,
2153,699637,Grev Willy von Rosenörn
2153,159779,Sagfører
2153,381005,Cirkusdirektør Winge
2153,414716,Gamle John - tjener hos greven
2153,1266474,Cirkusrytter
2153,647719,Værtshusgæst
2156,684029,
2157,488932,Boss Huller
2157,775568,Artinelli
2163,509573,Graf Elimar
2163,549989,Johannes Hartwig
2186,517327,Cirkusgæst
2186,653174,Borgmester Strøm
2186,421656,Laurento Linedanser
2199,446092,Herod
2199,87381,Jesus - the Man
2199,245769,Jesus as a Youth
2199,605017,Pilate
2199,14707,John the Baptist
2199,897085,Judas
2211,699637,Lieutenant Victor
2211,116796,Col. Tillier
2211,1531372,
2211,2529677,Rafn
2211,491498,
2211,2528881,
2262,869559,
2281,285643,Colonel James Bryson
2281,583645,Lieutenant White
2281,794405,The Sioux Chief
2281,10134,Telegrapher
2328,294276,King Midas
2329,3501535,Dezsõ gróf
2329,813922,Mel gróf
2329,3524487,Az öreg gróf
2329,2099703,Kázmér herceg
2333,121549,Wilder Christoph
